District,Population Density
Budaka,525.8
Budaka,380
Budaka,664.3
Budaka,397.3
Budaka,426.7
Budaka,506.2
Bududa,1791
Bududa,782
Bududa,3400
Bududa,212
Bududa,905
Bududa,2192
Bududa,962
Bududa,1274
Bududa,611
Bududa,1602
Bududa,1499
Bududa,406
Bududa,1137
Bududa,1737
Bududa,1431
Bududa,121
Bududa,662
Bugiri,346
Bugiri,3549
Bugiri,394
Bugiri,335
Bugiri,214
Bugiri,387
Bugiri,258
Bugiri,387
Bugiri,438
Bugiri,282
Bugiri,460
Bugiri,368
Bukedea,238
Bukedea,322
Bukedea,366
Bukedea,300
Bukedea,123
Bukedea,128
Bukedea,197
Bukwo,279
Bukwo,986
Bukwo,83
Bukwo,86
Bukwo,81
Bukwo,330
Bukwo,239
Bukwo,569
Bukwo,113
Bukwo,603
Bukwo,143
Bukwo,456
Bukwo,170
Bulambuli,1126
Bulambuli,618
Bulambuli,247
Bulambuli,441
Bulambuli,796
Bulambuli,2590
Bulambuli,784
Bulambuli,102
Bulambuli,210
Bulambuli,31
Bulambuli,104
Bulambuli,2269
Bulambuli,1377
Bulambuli,206
Bulambuli,1099
Bulambuli,404
Bulambuli,1971
Bulambuli,402
Bulambuli,971
Bulambuli,251
Busia,8871
Busia,6724
Busia,359
Busia,280
Busia,340
Busia,267
Busia,468
Busia,286
Busia,577
Busia,441
Busia,281
Busia,283
Busia,337
Busia,368
Busia,458
Busia,559
Busia,440
Butaleja,277
Butaleja,304
Butaleja,280
Butaleja,439
Butaleja,822
Butaleja,367
Butaleja,375
Butaleja,260
Butaleja,508
Butaleja,616
Butaleja,246
Butaleja,541
Butaleja,373
Buyende,268
Buyende,191
Buyende,221
Buyende,249
Buyende,250
Buyende,187
Buyende,234
Iganga,8699
Iganga,7299
Iganga,538
Iganga,2134
Iganga,466
Iganga,404
Iganga,409
Iganga,406
Iganga,318
Iganga,673
Iganga,596
Iganga,332
Iganga,392
Iganga,442
Iganga,322
Iganga,475
Iganga,495
Jinja,3067
Jinja,1968
Jinja,565
Jinja,5561
Jinja,389
Jinja,473
Jinja,465
Jinja,2405
Jinja,416
Jinja,313
Jinja,1519
Jinja,2659
Jinja,694
Kaberamaido,163.3
Kaberamaido,185.1
Kaberamaido,143.2
Kaberamaido,134.8
Kaberamaido,135.1
Kaberamaido,171.7
Kaberamaido,395.3
Kaberamaido,167.7
Kaberamaido,164.3
Kaberamaido,132.3
Kaberamaido,146.8
Kaberamaido,206.1
Kaberamaido,159.6
Kaliro,314
Kaliro,266
Kaliro,687
Kaliro,319
Kaliro,251
Kaliro,301
Kaliro,303
Kamuli,
Kamuli,
Kamuli,
Kamuli,
Kamuli,
Kamuli,
Kamuli,
Kamuli,
Kamuli,
Kamuli,
Kamuli,
Kamuli,
Kamuli,
Kamuli,
Kamuli,
Kapchworwa,
Kapchworwa,
Kapchworwa,
Kapchworwa,
Kapchworwa,
Kapchworwa,
Kapchworwa,
Kapchworwa,
Kapchworwa,
Kapchworwa,
Kapchworwa,
Kapchworwa,
Kapchworwa,
Kapchworwa,
Kapchworwa,
Katakwi,118
Katakwi,126
Katakwi,669
Katakwi,72
Katakwi,46
Katakwi,104
Katakwi,33
Katakwi,31
Katakwi,154
Katakwi,85
Katakwi,72
Kibuku,481
Kibuku,413
Kibuku,493
Kibuku,472
Kibuku,464
Kibuku,320
Kibuku,495
Kibuku,587
Kibuku,443
Kibuku,322
Kibuku,418
Kumi,
Kumi,
Kumi,
Kumi,
Kumi,
Kumi,
Kumi,
Kumi,
Kumi,
Kween,81
Kween,203
Kween,577
Kween,131
Kween,189
Kween,172
Kween,60
Kween,196
Kween,241
Kween,184
Kween,390
Kween,37
Kween,110
Luuka,443
Luuka,291
Luuka,366
Luuka,258
Luuka,358
Luuka,630
Luuka,435
Luuka,512
Luuka,366
Manafwa,597
Manafwa,665
Manafwa,857
Manafwa,807
Manafwa,759
Manafwa,822
Manafwa,1000
Manafwa,699
Manafwa,1092
Manafwa,849
Manafwa,485
Manafwa,270
Manafwa,516
Manafwa,470
Manafwa,517
Manafwa,987
Manafwa,786
Manafwa,1236
Manafwa,737
Manafwa,943
Manafwa,927
Manafwa,730
Manafwa,227
Manafwa,595
Manafwa,832
Manafwa,754
Manafwa,571
Manafwa,493
Manafwa,1117
Manafwa,1022
Manafwa,661
Mayuge,516
Mayuge,421
Mayuge,259
Mayuge,446
Mayuge,379
Mayuge,372
Mayuge,512
Mayuge,431
Mayuge,498
Mayuge,474
Mayuge,1048
Mayuge,451
Mayuge,596
Mayuge,440
Mbale,4252
Mbale,4860
Mbale,2109
Mbale,711
Mbale,639
Mbale,2220
Mbale,1491
Mbale,1592
Mbale,479
Mbale,435
Mbale,665
Mbale,560
Mbale,1942
Mbale,568
Mbale,492
Mbale,536
Mbale,538
Mbale,985
Mbale,738
Mbale,1975
Mbale,1079
Mbale,687
Mbale,816
Mbale,943
Namayingo,485
Namayingo,426
Namayingo,1203
Namayingo,282
Namayingo,365
Namayingo,458
Namayingo,423
Namayingo,612
Namayingo,142
Namayingo,367
Namutumba,305
Namutumba,239
Namutumba,350
Namutumba,278
Namutumba,333
Namutumba,782
Namutumba,347
Namutumba,311
Ngora,445
Ngora,3748
Ngora,227
Ngora,210
Ngora,83
Ngora,879
Pallisa,404
Pallisa,368
Pallisa,453
Pallisa,434
Pallisa,376
Pallisa,142
Pallisa,495
Pallisa,445
Pallisa,388
Pallisa,432
Pallisa,395
Pallisa,291
Pallisa,411
Pallisa,301
Pallisa,364
Pallisa,474
Pallisa,986
Pallisa,573
Pallisa,383
Pallisa,6102
Serere,174
Serere,223
Serere,3076
Serere,14
Serere,240
Serere,390
Serere,131
Serere,136
Serere,154
Serere,370
Serere,191
Sironko,2616
Sironko,183
Sironko,319
Sironko,702
Sironko,549
Sironko,569
Sironko,771
Sironko,858
Sironko,2382
Sironko,576
Sironko,739
Sironko,757
Sironko,575
Sironko,692
Sironko,710
Sironko,735
Sironko,601
Sironko,460
Sironko,426
Sironko,788
Sironko,351
Sironko,601
Soroti,5863
Soroti,1056
Soroti,1357
Soroti,174
Soroti,217
Soroti,158
Soroti,191
Soroti,156
Soroti,401
Soroti,162
Soroti,217
Tororo,470
Tororo,11230
Tororo,295
Tororo,465
Tororo,459
Tororo,503
Tororo,403
Tororo,220
Tororo,439
Tororo,551
Tororo,293
Tororo,345
Tororo,352
Tororo,459
Tororo,496
Tororo,368
Tororo,445
Tororo,448
Tororo,388
Tororo,1060
Tororo,1738
Tororo,433
