MITYANA,MITYANA,0.4016398,32.043969
BUGAHYA,HOIMA,1.6343426,31.1710389
TOROMA,KATAKWI,1.754148,33.948441
BOKORA,MOROTO,2.6168545,34.597132
BAMUNANIKA,LUWEERO,0.685658,32.6065484
BURAHYA,KABAROLE,0.6832535,30.2974199
KATIKAMU SOUTH,LUWEERO,0.8404086,32.497668
BUNYA,MAYUGE,0.2532134,33.5508661
RUKIGA,KABALE,-1.1326337,30.043412
KATIKAMU,LUWERO,0.8606339,32.4920088
GULU,GULU,42.5213111,-70.8962768
KIDIDIMA,KIRYANDONGO,1.7928491,31.966063
NYABUSHOZI,KIRUHURA,-0.3219566,30.8039474
CHEKWII,NAKAPIRIPIRIT,1.8307404,34.597132
BUKOOLI,NAMAYINGO,0.1452593,33.7843886
KASSANDA,MUBENDE,0.5761443,31.7195459
AMURIA,AMURIA,2.03017,33.6427533
KALUNGU EAST,MASAKA,-0.0952831,31.7651362
GULU,GULU,42.5213111,-70.8962768
MITYANA,MUBENDE,0.4777722,32.0382856
MITYANA,MITYANA,0.4016398,32.043969
KIGULU SOUTH,IGANGA,0.7235644,33.4831906
MATHENIKO,MOROTO,2.7494611,34.597132
NAKASEKE,NAKASEKE,1.2230848,32.0837445
KYAKA,KYENJOJO,0.4507452,30.9876321
MATHENIKO,MOROTO,2.7494611,34.597132
MARUZI,APAC,1.8445171,32.4014193
KATIKAMU SOUTH,LUWEERO,0.8404086,32.497668
,KATAKWI,1.973103,34.0641419
NAAMA,MUKONO,0.4105086,32.7790564
BULAMBULI,BULAMBULI,1.4327861,34.3088255
,KIBAALE,0.7682547,31.0776593
USUK,KATAKWI,1.973103,34.0641419
KALUNGU,MASAKA,-0.0952831,31.7651362
BUDIOPE,KAMULI,0.9187107,33.1239049
KABAROLE,KABAROLE,0.5896682,30.2548787
KYADONDO,WAKISO,0.4111927,32.5825197
